Record ID,Operator ID,Module ID,Status,Completion Date,Score,Certification Expiry
TR0001,OP1001,MOD006,Completed,2026-05-04,99,2027-05-04
TR0002,OP1001,MOD007,Not Started,,,
TR0003,OP1001,MOD002,Completed,2026-07-27,71,2027-07-27
TR0004,OP1001,MOD003,In Progress,,,
TR0005,OP1002,MOD003,In Progress,,,
TR0006,OP1002,MOD004,In Progress,,,
TR0007,OP1003,MOD006,Completed,2026-04-23,97,2027-04-23
TR0008,OP1003,MOD001,Completed,2026-08-16,81,2027-08-16
TR0009,OP1003,MOD008,Completed,2026-07-22,72,2027-07-22
TR0010,OP1003,MOD007,Completed,2026-06-08,74,2027-06-08
TR0011,OP1003,MOD005,In Progress,,,
TR0012,OP1004,MOD003,Completed,2026-06-28,84,2027-06-28
TR0013,OP1004,MOD006,In Progress,,,
TR0014,OP1004,MOD005,In Progress,,,
TR0015,OP1004,MOD008,Completed,2026-08-14,71,2027-08-14
TR0016,OP1004,MOD004,Not Started,,,
TR0017,OP1005,MOD003,Completed,2026-06-13,96,2027-06-13
TR0018,OP1005,MOD005,Completed,2026-05-29,87,2027-05-29
TR0019,OP1006,MOD005,Not Started,,,
TR0020,OP1006,MOD006,Completed,2026-08-30,86,2027-08-30
TR0021,OP1006,MOD002,Completed,2026-08-21,93,2027-08-21
TR0022,OP1006,MOD004,Completed,2026-04-17,71,2027-04-17
TR0023,OP1007,MOD007,Not Started,,,
TR0024,OP1007,MOD002,In Progress,,,
TR0025,OP1007,MOD006,Completed,2026-03-29,84,2027-03-29
TR0026,OP1008,MOD006,Completed,2026-06-19,90,2027-06-19
TR0027,OP1008,MOD008,Completed,2026-07-15,73,2027-07-15
TR0028,OP1008,MOD007,Completed,2026-06-22,89,2027-06-22
TR0029,OP1008,MOD004,In Progress,,,
TR0030,OP1008,MOD005,Completed,2026-07-23,79,2027-07-23
TR0031,OP1009,MOD002,Completed,2026-03-13,99,2027-03-13
TR0032,OP1009,MOD001,Completed,2026-05-04,76,2027-05-04
TR0033,OP1009,MOD008,In Progress,,,
TR0034,OP1010,MOD004,Completed,2026-04-30,88,2027-04-30
TR0035,OP1010,MOD003,Completed,2026-05-22,71,2027-05-22
